feature,importance
daily_turnover,0.17357683494643206
product_weight_g,0.16225618679833312
volume_cm3,0.1522614996609498
category_group_electronics,0.15076776546274787
product_length_cm,0.06926678303707119
price_per_kg,0.04505733518754707
product_width_cm,0.040992722297852925
product_height_cm,0.03851769201025845
volumetric_density,0.0373961391695054
avg_freight,0.034419820591791286
avg_price,0.03107904060349654
category_group_fashion,0.025886063321556914
category_group_beauty_health,0.008506320992000016
category_group_housewares,0.006777323640844778
category_group_home_garden,0.0054725211552234315
category_group_furniture,0.004758070017647153
category_group_sports_leisure,0.004194086911134497
category_group_other,0.002830760395015147
category_group_toys_baby,0.002384493223405136
category_group_stationery,0.001252594829269819
category_group_home_appliances,0.0012377544210606499
category_group_books_media,0.0008753809004962807
category_group_food_drinks,0.00023281042636037866
