feature,importance
category_group_electronics,0.4641726
product_weight_g,0.123004556
category_group_fashion,0.11746968
daily_turnover,0.0767603
volume_cm3,0.06538253
product_length_cm,0.030928113
category_group_books_media,0.023596426
category_group_other,0.018494591
category_group_housewares,0.017810224
category_group_toys_baby,0.0138601605
category_group_home_garden,0.010547731
category_group_furniture,0.008436324
category_group_home_appliances,0.0078093237
avg_price,0.0055095376
product_height_cm,0.0037476416
price_per_kg,0.0032607391
category_group_sports_leisure,0.0030021388
product_width_cm,0.0017221675
volumetric_density,0.0015442753
category_group_beauty_health,0.0014064837
avg_freight,0.0011685155
category_group_stationery,0.00036598454
category_group_food_drinks,0.0
