product_idx,true_class,true_class_cz,true_distance,rules_class,rules_class_cz,rules_distance,ml_class,ml_class_cz,ml_distance,savings_m
28638,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
6656,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,0
11831,pallet_rack,Paleta,80,pallet_rack,Paleta,80,pallet_rack,Paleta,80,0
15808,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
30074,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
6331,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,0
13215,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,0
14356,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,0
32787,front_zone_bin,Přední zóna,15,floor_block,Bloková zóna,80,front_zone_bin,Přední zóna,15,65
23439,front_zone_bin,Přední zóna,15,shelf_picking,Police,45,front_zone_bin,Přední zóna,15,30
358,front_zone_bin,Přední zóna,15,shelf_picking,Police,45,front_zone_bin,Přední zóna,15,30
14116,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,0
26751,pallet_rack,Paleta,80,pallet_rack,Paleta,80,pallet_rack,Paleta,80,0
19102,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
2336,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,0
7491,pallet_rack,Paleta,80,pallet_rack,Paleta,80,pallet_rack,Paleta,80,0
204,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
8156,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
32413,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,0
7977,pallet_rack,Paleta,80,pallet_rack,Paleta,80,pallet_rack,Paleta,80,0
19782,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,special_zone,Speciální zóna,45,0
25443,shelf_picking,Police,45,shelf_picking,Police,45,shelf_picking,Police,45,0
747,front_zone_bin,Přední zóna,15,shelf_picking,Police,45,front_zone_bin,Přední zóna,15,30
15386,pallet_rack,Paleta,80,pallet_rack,Paleta,80,pallet_rack,Paleta,80,0
